rowID,isEnable,treasury,publicSentiment,security,resultText
B01_P_RESULT,True,5,-10,0,식량은 아낄 수 있었지만 백성들의 식탁은 더욱 초라해졌습니다.
B01_Q_RESULT,True,-15,15,0,왕실 창고가 열리자 굶주린 백성들이 한숨을 돌렸습니다.
B01_SPACE_RESULT,True,-10,10,0,세금 부담은 줄었지만 왕국의 수입도 함께 감소했습니다.
B02_P_RESULT,True,-5,-10,10,경비병들이 밤낮없이 성벽을 지키기 시작했습니다. 과도한 근무에 병사들의 불만도 커졌습니다.
B02_Q_RESULT,True,-15,0,15,성벽은 새것처럼 튼튼해졌지만 많은 자재와 인력이 소모되었습니다.
B02_SPACE_RESULT,True,-5,0,5,균열은 가려졌지만 오래 버틸 수 있을지는 알 수 없습니다.
B03_P_RESULT,True,5,-25,0,왕실은 비용을 아꼈지만 백성들은 텅 빈 광장을 바라봐야 했습니다.
B03_Q_RESULT,True,-15,25,-5,수도 전체가 밤새 떠들썩했지만 경비병들까지 축제를 즐겨 경계가 느슨해졌습니다.
B03_SPACE_RESULT,True,-10,10,0,크지는 않았지만 백성들과 함께 무난한 기념행사를 열었습니다.
B04_P_RESULT,True,0,10,10,상단은 왕국을 떠났고 국내 상인들은 왕의 결정을 환영했습니다.
B04_Q_FAILURE,True,-5,-20,0,상단은 시장을 장악하자 상품 가격을 크게 올렸습니다.
B04_Q_SUCCESS,True,25,-10,0,상단은 약속대로 새로운 상품과 많은 세금을 왕국에 가져왔습니다.
B04_SPACE_RESULT,True,15,-5,0,상단은 불평하면서도 왕국에 일부 점포를 열었습니다.
B05_P_RESULT,True,5,-15,-5,왕실의 세입은 유지되었지만 백성들의 분노가 커졌습니다.
B05_Q_RESULT,True,-5,15,5,"많은 백성이 재판을 지켜봤고, 왕국의 관리들은 왕의 눈치를 보기 시작했습니다."
B05_SPACE_RESULT,True,10,5,0,빼돌린 재산은 왕실로 돌아왔지만 사건은 빠르게 잊혔습니다.
B06_P_RESULT,True,0,-5,0,사고 위험은 사라졌지만 광부들은 왕실이 기회를 포기했다며 불만을 드러냈습니다.
B06_Q_FAILURE,True,-10,-15,-10,낡은 갱도가 무너지며 광부들이 매몰되었고 구조 작업에 큰 비용이 들었습니다.
B06_Q_SUCCESS,True,35,15,-5,광부들은 거대한 금맥을 발견했고 왕실에는 막대한 채굴 수익이 들어왔습니다.
B06_SPACE_RESULT,True,-5,10,0,조사대는 갱도의 위험 구간을 확인하고 안전한 채굴 계획을 세웠습니다.
B07_P_RESULT,True,0,-30,15,"왕국의 위협이 될 가능성은 사라졌지만, 학자들과 백성들은 전설적인 발견을 없앤 결정에 반발했습니다."
B07_Q_FAILURE,True,-30,-10,-20,알에서 깨어난 용이 통제를 벗어나 왕궁 일부를 불태우고 달아났습니다.
B07_Q_SUCCESS,True,30,30,0,알에서 깨어난 어린 용이 왕실을 따르기 시작했습니다. 왕국에는 용을 보기 위한 방문객과 상인들이 몰려들었습니다.
B07_SPACE_RESULT,True,20,-10,0,"이웃 왕국은 거액을 지불하고 알을 가져갔지만, 백성들은 귀중한 발견을 팔아넘겼다며 아쉬워했습니다."
B08_P_FAILURE,True,-25,-10,0,협상이 결렬되어 연체금까지 한꺼번에 지불해야 했습니다.
B08_P_SUCCESS,True,-10,-5,-5,채권단이 상환 기한 연장에 동의해 당장의 위기를 넘겼습니다.
B08_Q_RESULT,True,20,-15,0,특별세로 상환 자금을 마련했지만 백성들의 원성이 높아졌습니다.
B08_SPACE_RESULT,True,15,0,-15,군수 물자를 팔아 급한 빚을 막았지만 왕국의 방위력이 약해졌습니다.
B09_P_FAILURE,True,0,-25,-5,서투른 발언이 백성들의 분노를 키워 시위가 더욱 거세졌습니다.
B09_P_SUCCESS,True,0,15,-5,왕의 진심 어린 사과가 받아들여져 시위대가 평화롭게 돌아갔습니다.
B09_Q_RESULT,True,-15,20,0,왕실 지원금이 지급되자 시위대가 해산하고 민심이 빠르게 회복되었습니다.
B09_SPACE_RESULT,True,0,5,-10,경비대를 물려 충돌은 피했지만 왕궁 주변의 통제가 약해졌습니다.
B10_P_RESULT,True,0,-5,-10,방어선을 축소해 병력은 아꼈지만 국경의 넓은 지역이 무방비로 남았습니다.
B10_Q_RESULT,True,-15,0,20,대규모 지원 병력이 도착해 국경 초소와 방어선이 안정되었습니다.
B10_SPACE_RESULT,True,-5,-15,15,민병대가 초소를 지켰지만 강제 징집에 주민들의 불만이 커졌습니다.
A01_P_ACTION_FAILURE,True,-5,-5,-10,반격 명령이 너무 늦게 전달되어 경비대가 큰 피해를 입었습니다.
A01_P_ACTION_SUCCESS,True,0,0,0,마을 경비대에 반격 명령이 전달되었습니다.
A01_P_RANDOM_FAILURE,True,-5,-10,-10,마을 경비대는 도적들의 수를 감당하지 못했고 창고 일부를 빼앗겼습니다.
A01_P_RANDOM_SUCCESS,True,-5,10,10,마을 경비대가 지형을 활용한 기습에 성공해 도적 떼를 쫓아냈습니다.
A01_Q_ACTION_FAILURE,True,-10,-5,5,서명이 제대로 완료되지 않아 기사단의 출발이 늦어졌습니다.
A01_Q_ACTION_SUCCESS,True,-10,5,15,기사단이 제시간에 도착해 도적 떼를 몰아냈습니다.
A01_SPACE_ACTION_FAILURE,True,-15,-5,0,용병 모집이 늦어져 일부 창고가 약탈당했습니다.
A01_SPACE_ACTION_SUCCESS,True,0,0,0,용병단 소집에 성공했습니다.
A01_SPACE_RANDOM_FAILURE,True,-20,-5,5,용병들은 도적 일부를 놓아주는 조건으로 추가 보수를 요구했습니다.
A01_SPACE_RANDOM_SUCCESS,True,-15,0,15,용병들은 약속한 보수를 받고 신속하게 도적들을 제압했습니다.
A02_P_ACTION_FAILURE,True,-25,-20,-10,마법이 너무 강하게 발동되어 불과 함께 시장의 지붕도 날아갔습니다.
A02_P_ACTION_SUCCESS,True,-5,15,10,거대한 물기둥이 시장을 덮으며 불길을 한 번에 껐습니다.
A02_Q_ACTION_FAILURE,True,-20,-10,-15,출동 순서가 꼬여 소방대가 서로 다른 장소로 이동했습니다.
A02_Q_ACTION_SUCCESS,True,-10,10,20,소방대가 신속하게 배치되어 불길을 진압했습니다.
A02_SPACE_ACTION_FAILURE,True,-15,-15,-10,동원된 백성들이 제대로 통제되지 않아 현장이 더 혼란스러워졌습니다.
A02_SPACE_ACTION_SUCCESS,True,-5,10,5,백성들이 힘을 합쳐 시장의 불을 껐습니다.
A03_P_ACTION_FAILURE,True,0,-10,-15,성문을 닫는 과정에서 혼란이 발생해 감염자가 수도 안으로 들어왔습니다.
A03_P_ACTION_SUCCESS,True,0,-10,10,수도는 안전해졌지만 지방의 백성들은 고립되었습니다.
A03_Q_ACTION_FAILURE,True,-10,-25,-15,예산 승인이 지연되어 치료소가 완성되기 전에 환자가 늘어났습니다.
A03_Q_ACTION_SUCCESS,True,-25,15,5,치료소가 빠르게 완성되어 많은 환자가 치료받았습니다.
A03_SPACE_ACTION_FAILURE,True,-5,-15,-15,봉쇄선에 빈틈이 생겨 일부 감염자가 다른 지역으로 이동했습니다.
A03_SPACE_ACTION_SUCCESS,True,-5,5,15,감염 지역이 신속하게 봉쇄되어 전염병의 확산이 멈췄습니다.
A04_P_ACTION_FAILURE,True,0,-5,-25,인장이 비뚤게 찍혀 거절 문서가 모욕적인 서신으로 오해받았습니다.
A04_P_ACTION_SUCCESS,True,5,5,-10,사절단은 불쾌해했지만 왕국의 독립적인 태도는 유지되었습니다.
A04_Q_ACTION_FAILURE,True,-20,-5,-30,연회 준비가 엉망이 되어 사절단이 모욕을 받았다고 느꼈습니다.
A04_Q_ACTION_SUCCESS,True,-15,5,15,화려한 연회에 만족한 사절단이 우호적인 동맹 조건을 제시했습니다.
A04_SPACE_ACTION_FAILURE,True,-25,-5,5,협상 중 잘못된 조건을 승인해 왕국이 큰 비용을 부담하게 되었습니다.
A04_SPACE_ACTION_SUCCESS,True,10,5,15,왕국에 유리한 조건으로 동맹 협상이 마무리되었습니다.
A05_P_ACTION_FAILURE,True,-5,-25,-15,대피 명령이 제대로 전달되지 않아 주민들이 혼란에 빠졌습니다.
A05_P_ACTION_SUCCESS,True,-5,15,-5,주민들은 무사히 대피했지만 마을의 일부 건물은 물에 잠겼습니다.
A05_Q_ACTION_FAILURE,True,-10,-15,-30,보수 작업이 끝나기 전에 제방 일부가 무너졌습니다.
A05_Q_ACTION_SUCCESS,True,-10,10,15,제방이 무너지기 전에 보수 작업이 완료되었습니다.
A05_SPACE_ACTION_FAILURE,True,-20,-20,-10,수문을 너무 늦게 열어 물살이 주변 농경지를 휩쓸었습니다.
A05_SPACE_ACTION_SUCCESS,True,-5,10,15,불어난 강물이 빈 들판으로 빠지며 마을이 침수를 피했습니다.
S01_ACTION_FAILURE,True,0,-10,-30,왕이 암살자의 공격을 피하지 못하고 부상을 입었습니다. 왕궁의 경비 체계에 대한 불신이 왕국 전체로 퍼졌습니다.
S01_ACTION_SUCCESS,True,0,5,-5,왕이 가까스로 암살자의 공격을 막아냈습니다. 근위병들이 뒤늦게 달려와 암살자를 제압했습니다.
S02_ACTION_FAILURE,True,-20,0,-10,기둥을 놓치는 순간 창고 천장이 무너졌습니다. 보관 중이던 식량과 군수품이 잔해에 파묻혔습니다.
